DATE,LNU03000018
2001/7/1,309
2001/8/1,283
2001/9/1,231
2001/10/1,256
2001/11/1,276
2001/12/1,250
2002/1/1,229
2002/2/1,243
2002/3/1,276
2002/4/1,273
2002/5/1,239
2002/6/1,357
2002/7/1,290
2002/8/1,282
2002/9/1,234
2002/10/1,191
2002/11/1,251
2002/12/1,250
2003/1/1,210
2003/2/1,226
2003/3/1,257
2003/4/1,219
2003/5/1,270
2003/6/1,401
2003/7/1,372
2003/8/1,239
2003/9/1,249
2003/10/1,261
2003/11/1,190
2003/12/1,161
2004/1/1,221
2004/2/1,151
2004/3/1,212
2004/4/1,161
2004/5/1,226
2004/6/1,347
2004/7/1,411
2004/8/1,258
2004/9/1,197
2004/10/1,266
2004/11/1,244
2004/12/1,201
2005/1/1,204
2005/2/1,202
2005/3/1,267
2005/4/1,259
2005/5/1,300
2005/6/1,371
2005/7/1,376
2005/8/1,319
2005/9/1,224
2005/10/1,232
2005/11/1,303
2005/12/1,150
2006/1/1,204
2006/2/1,239
2006/3/1,296
2006/4/1,224
2006/5/1,206
2006/6/1,347
2006/7/1,404
2006/8/1,264
2006/9/1,247
2006/10/1,220
2006/11/1,220
2006/12/1,168
2007/1/1,210
2007/2/1,209
2007/3/1,189
2007/4/1,228
2007/5/1,230
2007/6/1,368
2007/7/1,292
2007/8/1,259
2007/9/1,198
2007/10/1,192
2007/11/1,214
2007/12/1,235
2008/1/1,262
2008/2/1,222
2008/3/1,229
2008/4/1,165
2008/5/1,259
2008/6/1,314
2008/7/1,369
2008/8/1,272
2008/9/1,213
2008/10/1,239
2008/11/1,199
2008/12/1,202
2009/1/1,259
2009/2/1,262
2009/3/1,207
2009/4/1,239
2009/5/1,290
2009/6/1,395
2009/7/1,380
2009/8/1,260
2009/9/1,253
2009/10/1,269
2009/11/1,337
2009/12/1,303
2010/1/1,299
2010/2/1,262
2010/3/1,262
2010/4/1,221
2010/5/1,266
2010/6/1,351
2010/7/1,361
2010/8/1,332
2010/9/1,268
2010/10/1,314
2010/11/1,301
2010/12/1,250
2011/1/1,282
2011/2/1,212
2011/3/1,245
2011/4/1,241
2011/5/1,260
2011/6/1,360
2011/7/1,306
2011/8/1,324
2011/9/1,266
2011/10/1,216
2011/11/1,238
2011/12/1,254
2012/1/1,244
2012/2/1,215
2012/3/1,239
2012/4/1,216
2012/5/1,239
2012/6/1,402
2012/7/1,372
2012/8/1,293
2012/9/1,259
2012/10/1,293
2012/11/1,266
2012/12/1,228
2013/1/1,258
2013/2/1,284
2013/3/1,207
2013/4/1,241
2013/5/1,308
2013/6/1,433
2013/7/1,399
2013/8/1,306
2013/9/1,245
2013/10/1,227
2013/11/1,225
2013/12/1,204
2014/1/1,234
2014/2/1,177
2014/3/1,197
2014/4/1,218
2014/5/1,214
2014/6/1,292
2014/7/1,295
2014/8/1,237
2014/9/1,203
2014/10/1,223
2014/11/1,198
2014/12/1,206
2015/1/1,191
2015/2/1,188
2015/3/1,137
2015/4/1,157
2015/5/1,212
2015/6/1,324
2015/7/1,273
2015/8/1,241
2015/9/1,211
2015/10/1,159
2015/11/1,150
2015/12/1,150
2016/1/1,166
2016/2/1,142
2016/3/1,162
2016/4/1,160
2016/5/1,198
2016/6/1,321
2016/7/1,244
2016/8/1,236
2016/9/1,196
2016/10/1,180
2016/11/1,171
2016/12/1,157
2017/1/1,186
2017/2/1,153
2017/3/1,139
2017/4/1,184
2017/5/1,215
2017/6/1,223
2017/7/1,239
2017/8/1,204
2017/9/1,174
2017/10/1,142
2017/11/1,174
2017/12/1,140
2018/1/1,171
2018/2/1,191
2018/3/1,189
2018/4/1,177
2018/5/1,130
2018/6/1,219
2018/7/1,201
2018/8/1,137
2018/9/1,134
2018/10/1,172
2018/11/1,149
2018/12/1,137
2019/1/1,168
2019/2/1,194
2019/3/1,148
2019/4/1,155
2019/5/1,158
2019/6/1,216
2019/7/1,192
2019/8/1,114
2019/9/1,112
2019/10/1,127
2019/11/1,137
2019/12/1,121
2020/1/1,166
2020/2/1,142
2020/3/1,167
2020/4/1,168
2020/5/1,285
2020/6/1,241
2020/7/1,209
2020/8/1,171
2020/9/1,120
2020/10/1,155
2020/11/1,102
2020/12/1,154
2021/1/1,113
2021/2/1,116
2021/3/1,112
2021/4/1,132
2021/5/1,92
2021/6/1,131
2021/7/1,147
2021/8/1,138
2021/9/1,101
2021/10/1,102
2021/11/1,142
2021/12/1,118
2022/1/1,148
2022/2/1,98
2022/3/1,155
2022/4/1,89
2022/5/1,140
2022/6/1,167
2022/7/1,203
2022/8/1,151
2022/9/1,72
1972/1/1,247
1972/2/1,286
1972/3/1,241
1972/4/1,221
1972/5/1,198
1972/6/1,424
1972/7/1,383
1972/8/1,303
1972/9/1,248
1972/10/1,253
1972/11/1,288
1972/12/1,262
1973/1/1,199
1973/2/1,224
1973/3/1,197
1973/4/1,234
1973/5/1,203
1973/6/1,438
1973/7/1,407
1973/8/1,262
1973/9/1,288
1973/10/1,220
1973/11/1,249
1973/12/1,226
1974/1/1,248
1974/2/1,230
1974/3/1,260
1974/4/1,211
1974/5/1,222
1974/6/1,462
1974/7/1,463
1974/8/1,280
1974/9/1,291
1974/10/1,288
1974/11/1,324
1974/12/1,289
1975/1/1,333
1975/2/1,283
1975/3/1,306
1975/4/1,300
1975/5/1,277
1975/6/1,493
1975/7/1,421
1975/8/1,355
1975/9/1,321
1975/10/1,304
1975/11/1,286
1975/12/1,279
1976/1/1,292
1976/2/1,265
1976/3/1,287
1976/4/1,299
1976/5/1,292
1976/6/1,502
1976/7/1,432
1976/8/1,389
1976/9/1,312
1976/10/1,299
1976/11/1,311
1976/12/1,270
1977/1/1,293
1977/2/1,277
1977/3/1,284
1977/4/1,248
1977/5/1,269
1977/6/1,548
1977/7/1,516
1977/8/1,423
1977/9/1,345
1977/10/1,336
1977/11/1,367
1977/12/1,332
1978/1/1,342
1978/2/1,332
1978/3/1,345
1978/4/1,306
1978/5/1,328
1978/6/1,530
1978/7/1,512
1978/8/1,358
1978/9/1,313
1978/10/1,294
1978/11/1,345
1978/12/1,305
1979/1/1,280
1979/2/1,326
1979/3/1,275
1979/4/1,311
1979/5/1,308
1979/6/1,501
1979/7/1,458
1979/8/1,334
1979/9/1,296
1979/10/1,322
1979/11/1,300
1979/12/1,286
1980/1/1,298
1980/2/1,324
1980/3/1,278
1980/4/1,231
1980/5/1,304
1980/6/1,496
1980/7/1,507
1980/8/1,343
1980/9/1,353
1980/10/1,335
1980/11/1,322
1980/12/1,325
1981/1/1,336
1981/2/1,305
1981/3/1,303
1981/4/1,304
1981/5/1,285
1981/6/1,498
1981/7/1,462
1981/8/1,407
1981/9/1,321
1981/10/1,383
1981/11/1,359
1981/12/1,319
1982/1/1,304
1982/2/1,331
1982/3/1,339
1982/4/1,305
1982/5/1,373
1982/6/1,543
1982/7/1,540
1982/8/1,452
1982/9/1,408
1982/10/1,381
1982/11/1,400
1982/12/1,373
1983/1/1,319
1983/2/1,306
1983/3/1,287
1983/4/1,330
1983/5/1,351
1983/6/1,612
1983/7/1,542
1983/8/1,471
1983/9/1,419
1983/10/1,365
1983/11/1,358
1983/12/1,348
1984/1/1,304
1984/2/1,285
1984/3/1,298
1984/4/1,307
1984/5/1,307
1984/6/1,464
1984/7/1,505
1984/8/1,398
1984/9/1,371
1984/10/1,337
1984/11/1,332
1984/12/1,325
1985/1/1,315
1985/2/1,317
1985/3/1,312
1985/4/1,296
1985/5/1,331
1985/6/1,472
1985/7/1,524
1985/8/1,341
1985/9/1,344
1985/10/1,349
1985/11/1,338
1985/12/1,345
1986/1/1,319
1986/2/1,297
1986/3/1,354
1986/4/1,346
1986/5/1,342
1986/6/1,514
1986/7/1,462
1986/8/1,351
1986/9/1,339
1986/10/1,293
1986/11/1,269
1986/12/1,279
1987/1/1,287
